tconst,averageRating,numVotes
tt12361974,7.9,463317
tt0360717,7.2,462923
tt3480822,6.6,462739
tt0088847,7.8,462599
tt0091763,8.1,461461
tt8772262,7.1,460374
tt0217869,7.3,460344
tt1014759,6.4,459541
tt0083866,7.9,459466
tt0105695,8.2,459315
tt1302006,7.8,459182
tt0096697,8.6,458658
tt0119174,7.7,458482
tt0315327,6.8,457945
tt0163651,7.0,457728
tt0831387,6.4,457632
tt0375679,7.7,457619
tt2193021,7.5,456607
tt0369339,7.5,456086
tt0032138,8.1,455881
tt9140554,8.2,455129
tt0110475,7.0,454370
tt0086879,8.4,454245
tt0455944,7.3,452668
tt13443470,8.0,451447
tt2802850,8.8,450931
tt4158110,8.5,450753
tt0052357,8.2,450243
tt1690953,7.3,449171
tt0363771,6.9,448290
tt1399103,6.2,448089
tt1245492,6.6,447987
tt1055369,6.0,446060
tt6791350,7.9,445676
tt0265086,7.7,444648
tt0232500,6.8,444138
tt10648342,6.1,443943
tt0099674,7.6,443891
tt6334354,7.2,443050
tt0877057,8.9,441682
tt8367814,7.8,440713
tt1517451,7.6,439970
tt0840361,7.5,437253
tt1060277,7.0,437219
tt2381249,7.4,437026
tt1282140,7.0,435556
tt0104431,6.9,434531
tt0109686,7.3,433598
tt0361862,7.6,433442
tt1905041,7.0,432454
tt0405094,8.4,432148
tt7784604,7.3,431863
tt2820852,7.1,431442
tt0337978,7.1,431237
tt0181852,6.3,431048
tt0079470,8.0,430841
tt0121955,8.7,430813
tt0349903,6.5,430770
tt0118971,7.5,430566
tt7631058,6.9,430318
tt0147800,7.4,429468
tt2294449,7.0,427932
tt1596343,7.3,424940
tt0117571,7.4,424541
tt3521164,7.6,424450
tt0096895,7.5,424009
tt0112864,7.6,423506
tt0493464,6.7,423109
tt0120912,6.2,422895
tt2194499,7.8,419265
tt0119094,7.3,418373
tt2582846,7.6,418180
tt1542344,7.5,417804
tt1587310,6.9,417274
tt0454848,7.6,416950
tt0317919,6.9,416350
tt0096283,8.1,415828
tt0417299,9.3,415689
tt0230600,7.6,415639
tt9032400,6.2,415537
tt2948372,8.0,415470
tt10986410,8.8,414911
tt0166924,7.9,414154
tt1190080,5.8,414097
tt1453405,7.2,413947
tt0111257,7.3,413564
tt1632708,6.5,412951
tt0306414,9.3,411614
tt2737304,6.6,411333
tt1706620,7.1,411203
tt11126994,9.0,411190
tt4912910,7.7,408685
tt0094721,7.4,407974
tt0328107,7.7,407160
tt0120663,7.5,406871
tt0091042,7.8,406870
tt0388795,7.7,406790
tt1490017,7.7,406636
tt0448115,7.0,405399
tt0286106,6.8,404901
tt0120755,6.1,404645
tt0343660,6.8,404417
